,location,Radius,covered_nodes,Total_nodes_covered
0,"[631.9616455479238, 96.77924337337458]",246.83005048176912,"['6435688923', '6435688924', '6627410442', '668699193', '668699234', '668699237', '668699242']",7
1,"[1180.3024336252747, 552.3323852278926]",242.50483664013802,"['5366445105', '5879215634', '5879215642', '5879215643', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '667362347', '668685375', '668685380', '668699249', 'cluster_5879215623_5879215625']",15
2,"[660.8357796762996, 1393.7735575958113]",247.12545873135454,"['4348259298', '4348265101', '4348265105', '4348265107', '5366445085', '5366445092', '5584937650', '6573701501', '6573701505', '667357361', '668672699']",11
3,"[755.3515450181408, 757.5499962476141]",243.14013371236828,"['3215340463', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '667357318', '667357326', '667357330']",9
4,"[694.9422996797646, 1130.811288953921]",248.04099631169964,"['245674992', '5366445083', '5366445084', '5366445085', '5366445092', '5584937650', '6583550562', '668672700']",8
5,"[1011.1180181600453, 1565.9738084782255]",246.68599642481763,"['1990860600', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6572115060', '6573701524', '667357367', '667357421', '668612331', '6786321691']",17
6,"[1324.9298883433773, 957.0668427946675]",240.20962985702005,"['2055461155', '6576461331', '667357392', '667357401', '667357405', '667357407', '667357409', '667357415']",8
7,"[923.932324359428, 344.4687507742607]",246.4996206210572,"['5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '667354765', '667357309', '667357310', '667357311', '667357317', '667357318', '667357368', '668660548', '668699249']",20
8,"[249.78880819257978, 1304.6336775733926]",250.02276760513374,"['4348259295', '4348259319', '4348259324', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023', '668672574', '668672699']",10
9,"[1123.4130974842988, 1245.3184117861272]",245.79438939686767,"['2055461155', '4348259327', '4348259331', '4348259340', '4348259341', '4369058864', '5366445082', '5882320075', '667357367', '667357409', '667357412', '667357419', '668672704', 'cluster_4348259335_7265460758', 'cluster_668620092_7147944044_7147944046']",15
10,"[939.613362218478, 836.9316469575871]",246.54411481641773,"['3215340463', '5077600694', '5366445105', '6568909593', '6568909594', '6568909595', '6573854574', '667357325', '667357326', '668672700', '7147944038']",11
